"index","longitude","latitude"
368807,46.922304,44.109072
368808,46.655001,43.845507
368809,46.607741,43.865892
368810,46.789371,43.896184
368811,46.840027,43.812984
368812,47.033381,43.944519
368813,46.68691,43.87564
368814,46.753708,43.847477
368816,46.707355,43.849817
368817,46.982617,44.329529
368818,46.843827,43.817271
368819,46.732769,43.875952
368820,47.309478,43.770732
368822,47.375594,43.976049
368824,46.983143,44.329814
368825,46.881314,44.309408
368826,47.060905,44.049437
368827,46.719042,43.818318
368829,46.707355,43.849817
368830,46.707355,43.849817
368831,46.719015,43.84474
368832,46.730391,43.840008
368833,46.702693,43.831033
368837,46.707355,43.849817
368838,46.707355,43.849817
368839,46.707355,43.849817
368846,46.707355,43.849817
368847,46.707355,43.849817
368849,46.707355,43.849817
368850,45.872946,44.164062
368852,46.707355,43.849817
368853,45.621499,44.161657
368854,46.707355,43.849817
368855,45.58588,44.292796
368856,45.375962,44.253411
368857,45.835819,44.189347
368859,46.707355,43.849817
368870,46.544482,44.071086
368872,46.570084,43.967063
368873,46.556348,43.918545
368874,46.644311,43.957798
368875,46.634367,43.931102
368876,46.481779,44.082549
368877,46.585714,44.19572
368880,46.550788,44.389227
368881,46.546,44.391959
368882,46.595371,44.23783
368884,46.679795,44.176645
368885,46.739479,44.26804
368886,46.707355,43.849817
368887,46.709493,43.981303
368890,45.653883,44.658826
368900,46.122336,42.541012
368902,46.171286,42.561197
368903,46.870858,42.687913
368904,46.166686,42.517997
368905,46.134356,42.455139
368907,45.99235,42.434301
368908,46.868261,42.688635
368909,46.05101,42.537153
368910,46.097435,42.582158
368911,46.868261,42.688635
368921,46.606034,42.780107
368930,46.499036,42.788398
368933,46.722636,42.784375
368934,46.583415,42.716416
368935,46.510049,42.704425
368936,46.868261,42.688635
368938,46.580522,42.680728
368939,46.868261,42.688635
368940,46.792291,42.711726
368942,46.932006,42.639721
368943,46.991924,42.610167
368944,46.958884,42.601507
368945,46.892785,42.632677
368946,46.868261,42.688635
368947,46.868261,42.688635
368948,46.868261,42.688635
368949,46.870867,42.687919
368950,46.868261,42.688635
368951,46.835733,42.758392
368954,46.868261,42.688635
368955,46.868261,42.688635
368956,46.868261,42.688635
368957,46.868261,42.688635
368958,46.868261,42.688635
368959,46.868261,42.688635
368970,46.198558,42.669493
368971,46.218771,42.664972
368972,46.868261,42.688635
368973,46.259294,42.645113
368974,46.868261,42.688635
368975,46.116794,42.628737
368976,46.868261,42.688635
368977,46.31798,42.781722
368978,46.466777,42.67416
368979,46.868261,42.688635
368980,46.868261,42.688635
368981,46.115815,42.69061
368983,46.260066,42.784918
368984,46.29148,42.80028
368985,46.146869,42.689192
368988,46.310156,42.683724
368989,46.868261,42.688635
368990,46.33936,42.59558
368993,46.34935,42.550418
368994,46.341373,42.595759
368995,46.272454,42.608269
